Facultad;Carrera;Día;H_Inicio;H_Salida;Profesor;Semestre;Total Estudiantes;Entrada;Salida;Proyecto
CIENCIAS;MATEMATICA;MARTES;7;9;DOC_02;2223;33;7;15;1
ICA;CIVIL;JUEVES;9;11;DOC_04;2223;35;7;15;0
ICA;CIVIL;JUEVES;11;13;DOC_04;2223;47;7;15;0
FILO;P MATEMATICA;MARTES;7;9;DOC_04;2223;39;7;15;0
CQ;BIO Y FAR;MARTES;9;11;DOC_04;2223;52;7;15;0
ICA;CIVIL;MIERCOLES;7;9;DOC_04;2223;30;7;15;0
ARQ;ARQUITECTURA;VIERNES;7;9;DOC_04;2223;43;7;15;0
FILO;MECATRONICA;VIERNES;16;18;DOC_05;2223;29;7;15;1
FIGEMPA;GEOLOGIA;MARTES;14;16;DOC_05;2223;27;7;15;1
FIGEMPA;GEOLOGIA;MARTES;16;18;DOC_05;2223;13;7;15;1
ICA;CIVIL;MARTES;18;20;DOC_05;2223;41;7;15;1
CQ;BIO Y FAR;MIERCOLES;13;15;DOC_05;2223;52;7;15;1
ICA;INDUSTRIAL;MIERCOLES;11;13;DOC_05;2223;38;7;15;1
ICA;CIVIL;MARTES;7;9;DOC_12;2223;36;7;15;1
ICA;S INFORMACION;VIERNES;11;13;DOC_12;2223;65;7;15;1
FILO;P MATEMATICA;LUNES;9;11;DOC_13;2223;47;7;15;1
CQ;QUIMICA;VIERNES;7;9;DOC_13;2223;36;7;15;1
